Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,popularity,is_hit
77113,0.471,0.8,11,-6.624,0,0.0708,0.599,0.0,0.975,0.643,82.971,4,3.5324333333333335,52,0
70305,0.57,0.669,5,-3.722,1,0.0279,0.11,0.0,0.085,0.344,130.413,4,4.435766666666667,54,0
48056,0.752,0.833,6,-7.575,0,0.209,0.128,1.45e-06,0.421,0.271,104.989,4,3.8016666666666667,39,0
65665,0.668,0.626,7,-7.304,1,0.0307,0.51,0.0,0.337,0.8,119.407,3,5.23555,48,0
54414,0.456,0.658,4,-11.817,0,0.0452,0.347,0.847,0.119,0.0273,131.006,4,6.395933333333334,31,0
43936,0.431,0.913,11,-7.464,0,0.189,0.0498,1.47e-06,0.876,0.357,115.426,4,4.466066666666666,23,0
7734,0.485,0.319,5,-8.525,1,0.031,0.686,2.81e-05,0.117,0.195,142.119,3,5.244666666666666,57,0
18005,0.829,0.514,7,-6.694,1,0.037,0.203,0.000157,0.115,0.397,114.955,4,4.072316666666667,66,0
106465,0.596,0.691,11,-7.04,0,0.39,0.244,0.0,0.365,0.527,107.832,5,3.6470166666666666,38,0
41688,0.248,0.683,2,-12.139,1,0.113,0.000932,0.0344,0.394,0.0398,95.483,4,7.133766666666666,23,0
41656,0.486,0.659,2,-6.335,1,0.0347,0.0416,0.000218,0.06,0.165,99.997,4,5.035333333333333,21,0
6226,0.439,0.971,3,-4.157,1,0.105,6.89e-05,0.00442,0.208,0.35,74.906,4,5.381766666666667,20,0
71538,0.609,0.935,4,-3.182,1,0.234,0.23,1.42e-05,0.35,0.288,119.974,4,2.495,45,0
104639,0.693,0.875,7,-5.166,1,0.309,0.305,0.0,0.254,0.845,90.557,4,3.20355,29,0
100879,0.605,0.919,11,-3.366,1,0.0389,0.0129,0.0,0.336,0.92,93.485,4,2.6203666666666665,31,0
112102,0.64,0.459,1,-7.888,0,0.116,0.34,0.00962,0.103,0.123,140.033,4,2.14285,46,0
54698,0.619,0.994,7,0.233,1,0.46,0.114,2.27e-06,0.259,0.0734,179.942,4,3.368733333333333,11,0
73400,0.84,0.532,10,-10.569,0,0.0469,0.0134,0.188,0.128,0.525,110.998,4,3.6700833333333334,50,0
84801,0.704,0.427,7,-15.091,1,0.0606,0.411,0.0247,0.233,0.774,110.389,4,3.0733333333333333,45,0
61919,0.633,0.906,4,-4.121,1,0.0365,0.489,0.0,0.332,0.882,122.987,4,5.138216666666667,18,0
54030,0.63,0.916,10,-3.927,0,0.0522,0.00106,0.0225,0.871,0.303,87.503,4,4.4807,19,0
12782,0.54,0.407,5,-8.741,1,0.0295,0.476,0.0,0.094,0.614,127.995,4,3.727116666666667,54,0
11886,0.65,0.777,2,-4.984,1,0.0294,0.141,0.343,0.215,0.574,109.608,4,2.2804333333333333,58,0
24008,0.797,0.343,11,-15.334,1,0.0495,0.0692,0.362,0.479,0.536,119.988,4,9.271333333333333,46,0
77432,0.669,0.917,11,-3.619,0,0.0938,0.655,0.0,0.407,0.868,167.998,4,2.8921833333333336,45,0
85758,0.633,0.712,10,-5.885,0,0.0309,0.0049,0.0,0.0961,0.491,137.861,4,5.04155,36,0
26213,0.306,0.121,0,-15.551,0,0.0554,0.85,0.000176,0.257,0.166,174.055,4,3.4417666666666666,50,0
14479,0.637,0.528,0,-7.835,1,0.0891,0.39,0.0,0.118,0.962,100.659,4,1.6553333333333333,48,0
16676,0.226,0.201,7,-24.448,1,0.0477,0.985,0.982,0.156,0.325,127.242,3,0.83115,24,0
76636,0.144,0.327,5,-13.468,0,0.0467,0.556,0.865,0.116,0.123,75.915,4,4.570666666666667,21,0
98371,0.453,0.556,2,-6.322,1,0.0313,0.244,0.0,0.684,0.216,148.077,4,3.632216666666667,26,0
45312,0.59,0.154,2,-14.056,1,0.0736,0.977,0.923,0.11,0.295,175.735,4,3.40085,53,0
72777,0.305,0.902,0,-6.227,1,0.096,3.74e-05,0.0119,0.185,0.248,112.623,4,2.6453333333333333,25,0
112945,0.291,0.292,5,-6.799,1,0.0357,0.871,0.0,0.353,0.0792,140.492,3,3.2714,40,0
7175,0.521,0.463,2,-9.802,1,0.0269,0.389,0.0592,0.0926,0.467,92.73,4,4.4588833333333335,27,0
26574,0.589,0.0456,9,-19.654,1,0.0727,0.995,0.954,0.11,0.395,115.183,4,4.019033333333334,21,0
112916,0.495,0.85,8,-4.696,1,0.111,0.139,3.81e-06,0.438,0.0549,95.03,4,4.229116666666667,39,0
95779,0.412,0.719,7,-5.492,1,0.0333,0.158,1.9e-05,0.0537,0.53,87.153,4,5.831816666666667,28,0
39741,0.673,0.619,4,-8.81,0,0.393,0.565,0.0,0.109,0.22,90.251,4,2.59985,39,0
98206,0.449,0.42,8,-9.624,1,0.356,0.631,0.0,0.0805,0.41,176.989,4,4.939783333333334,62,0
33962,0.879,0.484,6,-6.909,1,0.206,0.346,0.0,0.124,0.54,125.898,4,2.8,45,0
95714,0.712,0.836,0,-6.782,1,0.0408,0.448,3.59e-05,0.242,0.828,106.258,4,6.6146666666666665,28,0
45365,0.441,0.137,10,-21.724,1,0.0298,0.985,0.936,0.123,0.242,90.985,3,2.2495166666666666,24,0
82762,0.46,0.961,2,-4.358,1,0.0356,0.000856,0.00905,0.383,0.831,180.069,4,1.9951,20,0
32438,0.733,0.719,0,-4.706,1,0.0364,0.53,1.13e-05,0.0857,0.902,192.115,4,4.471333333333333,39,0
6147,0.401,0.984,5,-3.445,0,0.0859,1.69e-05,0.00811,0.0976,0.277,162.044,4,4.033016666666667,23,0
90635,0.376,0.353,9,-11.551,1,0.0314,0.621,0.0,0.145,0.616,183.75,4,2.8688833333333332,31,0
44329,0.44,0.916,4,-4.222,0,0.266,0.000236,1.94e-05,0.0897,0.401,124.099,4,2.8804333333333334,53,0
55371,0.53,0.795,7,-6.547,1,0.0314,0.17,2.81e-05,0.157,0.546,150.009,4,5.093333333333334,52,0
97455,0.613,0.616,4,-5.879,1,0.0385,0.867,0.0,0.571,0.537,147.098,4,3.9833333333333334,47,0
10895,0.645,0.888,1,-5.266,1,0.239,0.0503,0.000401,0.0983,0.614,170.1,4,4.028,12,0
25860,0.792,0.734,4,-4.837,0,0.0324,0.427,0.0,0.114,0.611,120.018,4,3.3291666666666666,30,0
8761,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,4,4.516666666666667,67,0
172,0.498,0.12,0,-17.721,1,0.0487,0.851,0.0,0.171,0.338,121.187,4,3.875,55,0
46737,0.723,0.716,8,-11.396,1,0.0786,0.13,0.518,0.0745,0.414,167.522,4,5.441416666666667,18,0
33646,0.398,0.955,2,-3.627,1,0.0569,0.0048,0.0,0.0833,0.665,143.729,4,2.240883333333333,36,0
46215,0.456,0.929,11,-6.849,0,0.0661,0.0779,0.0067,0.411,0.18,147.998,4,3.5041,24,0
1862,0.717,0.513,4,-7.916,0,0.0337,0.00956,0.813,0.112,0.79,92.968,4,3.3233,17,0
73311,0.717,0.486,4,-11.511,0,0.0473,0.284,0.536,0.348,0.423,121.05,4,4.209966666666666,49,0
18008,0.762,0.708,2,-6.297,1,0.0573,0.0191,0.000374,0.145,0.639,131.22,4,2.8251,58,0
60678,0.626,0.676,9,-7.241,1,0.361,0.0234,0.0,0.128,0.373,195.932,4,2.6938666666666666,20,0
963,0.474,0.727,2,-5.892,1,0.0329,0.123,2.82e-06,0.244,0.83,79.633,4,5.4451,26,0
61471,0.663,0.991,4,-4.051,1,0.0746,0.0155,0.0,0.109,0.77,128.002,4,3.876,22,0
61021,0.578,0.885,5,-3.065,0,0.0913,0.0429,0.0,0.256,0.647,94.918,4,3.4947333333333335,32,0
12339,0.779,0.462,11,-13.04,0,0.0293,0.121,2.64e-06,0.278,0.565,92.016,4,4.088433333333334,22,0
104375,0.469,0.445,9,-11.727,1,0.346,0.766,0.0,0.155,0.653,174.798,4,4.545766666666666,31,0
21988,0.869,0.794,8,-6.069,1,0.156,0.199,0.0,0.0772,0.643,89.996,4,2.5395833333333333,26,0
95664,0.785,0.74,7,-7.205,1,0.0326,0.388,0.0,0.0717,0.926,92.03,4,4.9462166666666665,28,0
43998,0.332,0.74,10,-4.992,1,0.0333,0.72,0.0,0.13,0.553,109.845,5,4.117333333333334,22,0
47868,0.581,0.791,6,-7.262,1,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,3,4.27155,65,0
20810,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023,4,3.3520333333333334,78,1
61897,0.61,0.953,10,-1.076,1,0.102,0.136,0.000218,0.371,0.398,150.016,4,4.57355,18,0
113014,0.391,0.535,8,-4.516,1,0.0291,0.00324,0.0,0.205,0.127,145.937,4,4.1771,58,0
52547,0.523,0.301,7,-12.924,1,0.0336,0.883,0.0,0.445,0.611,84.042,4,1.7126666666666666,13,0
13440,0.642,0.992,9,-1.859,1,0.122,0.000242,0.162,0.196,0.303,119.968,4,5.8,11,0
12062,0.612,0.411,9,-12.834,1,0.0694,0.331,0.00338,0.335,0.588,155.956,4,3.5436666666666667,40,0
54829,0.409,0.0511,4,-29.227,1,0.0466,0.976,0.909,0.119,0.155,145.061,3,5.333333333333333,11,0
58376,0.58,0.74,4,-8.092,1,0.0423,0.258,0.297,0.103,0.367,114.929,4,4.586433333333333,26,0
52393,0.378,0.372,2,-11.719,1,0.033,0.929,1.03e-06,0.382,0.561,183.643,4,1.87,14,0
105007,0.737,0.161,5,-18.395,1,0.11,0.909,0.941,0.121,0.169,87.981,4,2.5909,48,0
52360,0.776,0.361,7,-10.163,1,0.0536,0.57,0.0,0.0878,0.947,140.311,4,2.4388833333333335,41,0
23100,0.818,0.728,1,-5.705,0,0.0724,0.0985,0.0,0.0917,0.597,124.974,4,2.8666666666666667,80,1
110892,0.402,0.954,6,-5.067,0,0.0927,0.000191,0.839,0.254,0.0383,155.038,4,2.7354833333333333,29,0
80235,0.575,0.655,8,-7.464,1,0.0427,0.604,0.000388,0.094,0.703,82.077,4,4.668066666666666,64,0
31851,0.818,0.913,4,-3.06,0,0.0426,0.093,3.69e-05,0.161,0.536,119.986,4,3.65265,76,1
58943,0.66,0.83,11,-13.518,0,0.0573,0.000879,0.0266,0.371,0.514,125.369,4,4.6411,22,0
50240,0.574,0.653,4,-7.36,0,0.0276,0.00599,9.08e-05,0.13,0.207,117.07,4,4.98,28,0
38627,0.41,0.653,9,-6.503,1,0.0367,0.759,0.276,0.355,0.543,96.43,3,5.283333333333333,31,0
104751,0.89,0.643,9,-6.093,1,0.0688,0.135,0.0,0.241,0.97,132.08,4,3.2,59,0
36574,0.655,0.607,10,-8.755,1,0.442,0.00373,0.0,0.16,0.414,106.547,5,3.0769333333333333,35,0
49056,0.415,0.983,4,-1.812,0,0.243,0.0013,0.00136,0.115,0.0866,155.054,4,3.5770666666666666,51,0
107903,0.634,0.59,6,-7.66,1,0.0294,0.0248,0.16,0.112,0.45,125.998,4,3.85755,12,0
94361,0.632,0.623,10,-6.613,1,0.0549,0.233,0.0,0.17,0.435,179.964,4,2.7241,47,0
74647,0.415,0.529,2,-9.646,1,0.0338,0.0295,0.0,0.882,0.172,125.849,4,5.5951,41,0
80574,0.332,0.422,3,-5.414,1,0.0449,0.865,0.0,0.0763,0.217,74.315,4,5.233316666666667,59,0
23778,0.675,0.713,11,-6.871,1,0.0346,0.0965,0.43,0.0853,0.929,123.999,4,3.580633333333333,56,0
