danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,is_short_track,energy_x_danceability,acoustic_minus_energy,explicit_int,macro_classical,macro_electronic,macro_folk_country,macro_hiphop_rnb,macro_jazz_blues,macro_latin,macro_metal,macro_mood_other,macro_pop,macro_reggae,macro_rock,macro_world,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,ts_3,ts_4,ts_5,popularity,is_hit
0.832,0.755,-5.355,0,0.0389,0.746,0.000194,0.194,0.968,125.411,5.239,0,0.6281599999999999,-0.009000000000000008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,34,0
0.116,0.994,-4.908,1,0.167,6e-06,0.0255,0.416,0.0383,163.551,5.204,0,0.115304,-0.993994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17,0
0.38,0.887,-3.49,0,0.119,0.0364,0.0,0.0665,0.493,119.223,3.6166666666666667,0,0.33706,-0.8506,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,0
0.654,0.844,-6.616,1,0.0538,0.381,2.98e-06,0.0942,0.91,98.07,4.961333333333333,0,0.551976,-0.46299999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,30,0
0.577,0.712,-7.401,1,0.05,0.572,0.0,0.107,0.964,89.38,2.1384333333333334,1,0.41082399999999997,-0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,0
0.431,0.361,-10.6,1,0.0247,0.587,0.0,0.129,0.15,76.851,7.792883333333333,0,0.15559099999999998,0.22599999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40,0
0.492,0.931,-3.837,0,0.297,0.00244,0.0,0.353,0.444,166.071,3.8564,0,0.458052,-0.92856,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,62,0
0.506,0.233,-12.077,0,0.0276,0.957,2.8e-05,0.116,0.275,88.08,2.4861333333333335,1,0.117898,0.724,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,48,0
0.558,0.662,-9.732,1,0.0562,0.377,2.08e-06,0.942,0.882,146.994,3.1064333333333334,0,0.36939600000000006,-0.28500000000000003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21,0
0.771,0.678,-10.703,1,0.291,0.735,0.0,0.189,0.961,90.688,2.9728833333333333,0,0.522738,0.05699999999999994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,40,0
0.581,0.398,-8.617,1,0.0276,0.904,0.000766,0.15,0.358,139.184,3.9622166666666665,0,0.231238,0.506,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,0
0.632,0.907,-3.062,1,0.0533,0.0127,0.0,0.0656,0.822,124.992,3.7522166666666665,0,0.5732240000000001,-0.8943,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,52,0
0.249,0.971,-8.235,1,0.0935,4.55e-06,0.759,0.105,0.202,87.34,3.8162166666666666,0,0.241779,-0.97099545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,0
0.638,0.349,-8.247,0,0.0301,0.457,0.0,0.0668,0.94,103.081,2.7802166666666666,0,0.222662,0.10800000000000004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,37,0
0.432,0.58,-7.295,0,0.0671,0.5,0.00774,0.105,0.23,159.908,4.067433333333334,0,0.25056,-0.07999999999999996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,51,0
0.599,0.947,-4.625,1,0.0497,0.0125,0.0,0.295,0.665,132.981,2.64435,0,0.5672529999999999,-0.9345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,0
0.754,0.464,-10.928,1,0.0572,0.744,0.0,0.331,0.731,131.842,2.515616666666667,0,0.349856,0.27999999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,53,0
0.739,0.797,-3.488,0,0.185,0.371,0.0,0.0921,0.444,67.297,3.4343166666666667,0,0.588983,-0.42600000000000005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,43,0
0.616,0.691,-6.497,1,0.0621,0.156,0.0,0.177,0.207,124.957,3.1849666666666665,0,0.425656,-0.5349999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,68,0
0.833,0.952,-3.873,1,0.0671,0.224,0.00184,0.172,0.674,104.945,3.8952833333333334,0,0.7930159999999999,-0.728,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,43,0
0.575,0.839,-4.435,0,0.353,0.0157,0.0,0.313,0.8,129.815,3.2268,0,0.48242499999999994,-0.8232999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22,0
0.75,0.875,-7.783,1,0.0538,2e-05,0.777,0.073,0.132,144.988,6.886066666666666,0,0.65625,-0.87498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,35,0
0.5,0.953,-5.606,1,0.0441,0.00598,0.000882,0.26,0.327,124.992,2.488,1,0.4765,-0.94702,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,60,0
0.637,0.574,-8.14,1,0.0395,0.741,4.47e-06,0.0912,0.615,125.029,4.79875,0,0.36563799999999996,0.16700000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,42,0
0.454,0.973,-2.787,1,0.0582,0.000996,0.0112,0.105,0.849,80.002,3.5782166666666666,0,0.441742,-0.972004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31,0
0.344,0.971,-4.638,1,0.106,1.6e-05,0.0806,0.0893,0.108,192.117,4.747333333333334,0,0.334024,-0.970984,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52,0
0.52,0.451,-7.813,1,0.0252,0.296,8.46e-06,0.221,0.239,138.089,4.732666666666667,0,0.23452,-0.15500000000000003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,41,0
0.244,0.955,-3.111,1,0.131,0.000932,0.0,0.139,0.461,161.811,3.874216666666667,0,0.23301999999999998,-0.9540679999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,38,0
0.505,0.943,-7.193,1,0.0462,2.65e-05,0.0504,0.36,0.828,149.953,3.4917666666666665,0,0.476215,-0.9429734999999999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24,0
0.758,0.45,-11.488,0,0.429,0.628,5e-05,0.11,0.427,76.975,4.0127,0,0.3411,0.178,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0
0.663,0.975,-7.191,0,0.0468,0.00781,0.77,0.076,0.405,120.04,5.6651,0,0.646425,-0.96719,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,49,0
